ID,Taxonrich,logTN,ELEV,longitude,logprecip,logAREA,logCL,logHCO3,logSO4,SED,STRMTEMP,Percent.AGT,Percent.URB,Percent.Canopy,Riparian.Disturb.,ps_score,y_estimator
1,42,2.439332694,2149,-104.90472199999999,-0.514164525,4.1116932010000005,6.156131169,7.510238289,5.685618504,40.0,18.5,0.34,0.8,0.5,0.33335,2.4465416857660167,45.840044251157686
2,26,2.891537458,760,-101.78264,-0.825536369,4.937992914,5.731073335,8.365002157000001,6.002157177000001,29.52380952,27.0,21.22,0.46,0.681818182,1.5,2.732796056324429,36.25236192994664
3,58,1.897627091,58,-121.97861100000001,0.98170387,6.171804976000001,3.815512105,6.2913116989999995,4.163559631,11.42857143,18.1,0.0,0.24,0.090909091,0.0,2.0033833405625843,56.34448675733074
4,32,2.64246452,1719,-108.82666699999999,-0.452556716,7.888537031,8.357798787,7.6637461920000005,6.764692896000001,18.095238100000003,8.1,1.51,0.05,0.22727272699999998,0.0,2.451251246168115,35.070986729201834
5,55,2.252853032,1146,-117.531667,0.15614868199999998,3.156574799,3.063390922,7.678875272999999,5.563370321,16.19047619,13.9,0.72,0.02,0.818181818,0.0,2.1037719501363044,57.13992404341132
6,84,1.748188026,1256,-122.32812,0.33002291300000003,2.7408400239999997,2.028148247,6.032628937999999,1.30833282,16.19047619,9.7,0.01,0.01,0.0,0.0,1.7358492111774653,71.96517075150793
7,57,2.093421685,2735,-107.73968,-0.46840490799999995,0.896088025,2.939161922,7.804780415,5.759847699,13.33333333,10.5,1.91,0.0,0.0,0.030304546,2.34104098878489,51.67174644681332
8,26,2.555094448,1255,-119.140556,-1.052683357,3.316002536,6.256133845,7.166319872000001,5.38357721,70.47619048,28.0,0.0,0.0,0.727272727,1.5,2.5277663334456704,35.0565293178962
9,55,2.403120521,2012,-115.08694399999999,-0.68319685,1.190887565,3.6609942510000004,6.029684987,3.292126287,12.38095238,14.6,0.0,0.0,0.954545455,1.5,2.4609289661437113,52.43043983655994
10,74,2.167317336,753,-122.13771000000001,0.647103242,1.2354714709999999,3.4339872039999997,5.353412975,1.871802177,20.0,7.8,0.0,0.0,0.0,0.0,1.967081546619118,66.10995143182701
11,44,2.547774704,1532,-107.378611,-0.723606388,6.1786077939999995,3.6609942510000004,8.21066477,8.760217798,16.19047619,14.0,0.95,0.0,0.636363636,0.4091,2.4390098190712797,44.5362309099582
12,54,2.462397998,2751,-106.07704,-0.479650006,2.536074936,3.676300672,6.995873293,4.018183201,25.71428571,18.8,0.0,0.26,1.0,0.613645455,2.4794749379172867,51.16664365756867
13,59,1.633468456,419,-122.15535,0.800655388,5.239681391,3.4719664530000003,5.979195054,3.46885603,27.0,11.9,0.11,0.26,0.0,0.0,1.8000961639266677,60.54159201402289
14,31,3.06669855,865,-100.86819,-0.721546655,4.548494009,4.674696249,8.484926165,4.238444906000001,100.0,21.4,19.08,0.07,1.0,1.00005,2.9966923489103174,30.300958528446333
15,60,1.995635195,924,-123.454722,0.42330502600000003,3.133753571,3.443618098,6.444612002,4.223909767,5.714285714,16.5,0.0,0.05,0.0,0.0,1.8474121481828834,61.87467282149758
16,48,2.0755469619999998,1397,-111.03606,-0.40047756700000003,4.609361391,4.548599834,8.182400703999999,5.321545493,12.38095238,16.7,0.0,0.04,0.272727273,0.09091363599999999,2.182352249385302,49.56992155981859
17,45,1.806179973,1761,-122.02888899999999,0.173953307,2.574899688,1.987874348,6.219818501000001,2.785011242,58.0952381,12.4,0.0,0.02,0.8636363640000001,1.5,1.8089986022008646,54.5946522210654
18,51,1.838849091,1853,-114.80021,-0.350976923,5.128181265,4.198704578,7.3881819,5.888323787999999,25.71428571,25.5,0.0,0.02,0.363636364,0.0,2.241876213640813,52.001772245730784
19,28,2.937517891,1042,-103.6309,-0.923818998,7.70852292,6.866516531,8.117760899,10.23679407,75.23809524,20.5,2.6,0.01,0.5,1.5,2.831669058953162,33.058211459542974
20,45,2.447158031,1987,-108.67407,-0.657780037,4.7487509139999995,5.04407007,8.55633294,8.369017956,74.28571429,15.5,0.0,0.0,1.0,1.23485,2.488584204184425,43.351306352743585
21,43,1.880813592,1921,-116.0938,0.35487332200000005,3.6663781889999996,1.1314021109999999,4.599081689,2.415913778,27.61904762,11.0,0.0,0.0,0.363636364,0.0,1.8631741166667284,51.093360756727634
22,42,2.320146286,1416,-109.75453,-0.629233855,0.678033543,1.435084525,8.173440114,5.782593655,39.70588235,2.0,0.0,0.0,0.181818182,1.4318181819999998,2.231857388823162,45.134623582505455
23,36,2.187520722,1124,-109.03573,-0.8029620470000001,6.117722679,9.072364833,8.022736242,10.87093707,100.0,11.8,9.01,0.0,1.0,0.8636363640000001,2.4947977942663884,37.812494042576844
24,49,2.3579348469999997,1586,-118.715833,-0.830113036,2.209372711,5.346631227,7.395184325,6.261873291000001,35.23809524,16.0,0.0,0.0,0.590909091,1.5,2.4773301393420266,50.30838729110549
25,47,2.3909351080000003,1532,-117.48527800000001,-1.055552799,3.7986303180000003,6.334699579,6.86321283,6.2978456970000005,61.90476191,13.0,0.83,0.0,0.772727273,1.5,2.5993419517208016,46.13467361290806
26,43,2.071882006,1864,-115.70361100000001,-0.572701027,2.810606789,5.102302483,8.478510676,5.757323242000001,29.80769231,12.4,0.0,0.0,0.8636363640000001,1.5,2.4256298573724604,46.40473589724866
27,82,1.9684829480000001,1740,-118.72986999999999,-0.035627177999999995,1.091923301,2.066862759,6.533805701,3.202746443,10.47619048,13.5,0.0,0.0,0.181818182,0.0,1.844062634791775,62.324440133034805
28,27,1.8195439359999999,772,-120.92748,0.614103973,4.122283931,2.066862759,5.331844536,4.613138356,4.7619047619999995,8.8,0.0,0.0,0.045454546,0.0,1.7512655443378107,52.80345471599096
29,56,1.8129133569999998,1465,-121.16611100000001,0.008959741,1.838961071,2.341805806,5.861210635,3.42751469,5.769230769,6.9,0.0,0.0,0.0,0.0,1.8030396488495901,58.20194281368561
30,55,1.5314789169999998,825,-121.495278,0.97418221,1.93441577,2.163323026,4.366464393,2.884800713,0.0,11.4,0.0,0.0,0.045454546,0.0,1.7086497526016067,55.409060396185225
31,54,2.296665189,2250,-110.199722,-0.49265832,5.703048872,3.299533728,8.289956362,5.248601774,19.04761905,24.2,6.1,0.0,0.8636363640000001,0.7651772729999999,2.3812939582611015,50.62063553927111
32,33,2.84757266,1818,-114.1774,-0.820980552,6.035170379,7.724800096,8.355190364,6.4199949279999995,100.0,16.6,0.06,0.0,1.0,1.5,2.755396352877065,32.502732663066666
33,19,3.74358815,232,-121.10138899999998,-0.7550225840000001,3.3318473039999996,5.433722004,8.345652894,6.045005314,97.89473684,5.5,98.24,0.89,0.681818182,1.0667200000000001,3.5440888023600303,22.023997592273606
34,56,2.856124443,129,-120.193611,-0.772190388,3.6668894360000004,7.475169154,8.513365877,8.45209985,13.0,23.7,3.16,0.71,0.727272727,0.0,2.8857027623757583,46.54850545640147
35,34,3.30706795,657,-99.3655,-0.505838082,6.307150816,6.946687488999999,8.698141139,8.57975476,74.03846154,25.5,74.59,0.47,0.045454546,0.204545455,3.169381062855457,32.87934720959738
36,43,2.584331223,169,-123.45342,1.1262274559999998,1.255616037,3.887730313,6.135436488,3.1223649239999998,14.28571429,9.2,0.05,0.08,0.0,0.0,2.346500045625445,55.41590436054411
37,61,2.322219295,75,-123.58941999999999,0.753771802,1.788420568,4.970507503,6.2027685770000005,3.8607297110000003,65.71428571,17.5,0.0,0.03,0.272727273,0.0,2.280983393053555,54.47679916343262
38,51,1.924279286,1225,-118.72535,-0.350976923,2.242835089,2.541601993,6.977623126,3.828641396,22.85714286,19.4,0.0,0.01,0.0,0.0,2.014857098688438,62.58860185340477
39,56,1.518513941,926,-120.9786,-0.22064667100000002,3.6317798619999997,2.778819272,6.3428377110000005,1.193922468,37.14285714,8.5,0.0,0.01,0.0,0.060609091,1.794931037285891,59.1755760188924
40,55,2.143014801,2427,-115.085,0.108854405,0.457424847,1.568615918,6.042359637000001,2.240709689,20.0,10.1,0.0,0.0,0.083333333,0.0,1.9367421313401672,54.74206561712542
41,16,1.740362688,2048,-114.53681,-0.221894332,3.25617161,2.451005098,6.747283663999999,4.434381865,20.95238095,9.0,0.0,0.0,0.5,0.0,1.9168725553686552,43.18337312178664
42,49,2.267171728,1382,-114.56456000000001,-0.52256088,1.319085611,2.370243741,5.601972742999999,3.4210000089999997,33.33333333,9.9,0.0,0.0,0.0,0.0,2.077649915367578,54.731079270729246
43,58,1.740362688,1383,-122.20408,0.63286625,1.940179474,2.397895273,5.478236039,1.568615918,5.714285714,6.4,0.0,0.0,0.0,0.0,1.7867212355734035,62.189649968350366
44,59,2.220108088,1234,-121.44193999999999,-0.050241216,0.657520003,3.17805383,5.921422268,1.386294361,27.61904762,11.9,0.0,0.0,0.0,0.0,1.9274740988801569,64.8077262071776
45,62,1.86332286,1385,-119.2195,-0.638658995,3.0502204589999997,2.90690106,8.246658135,5.47478851,85.71428571,19.2,0.0,0.0,0.727272727,1.068181818,2.135873738073879,53.31014273792201
46,34,2.787460474,854,-100.040278,-0.746547957,5.406857821,3.711130063,7.980070402000001,4.065602093,96.15384615,15.4,0.84,0.0,0.954545455,1.310613636,2.5998803423902785,33.76012007444295
47,44,2.303196056,18,-124.59938999999999,0.976067936,0.871293366,5.2067501730000005,5.956228485,3.194583132,76.19047619,13.1,0.0,0.0,0.272727273,0.0,2.2973413081567853,50.0539235792513
48,61,1.6989700030000001,1005,-120.99861100000001,1.120699885,0.993251773,1.3609765530000002,4.46112659,3.0773122610000003,1.904761905,9.9,0.0,0.0,0.818181818,0.0,1.7182834840026475,55.11313629460285
49,63,3.0941215960000004,112,-122.4367,0.555607767,1.578978705,5.150976779,6.5816821370000005,5.015291106,14.28571429,14.8,0.0,0.0,0.045454546,0.0,2.4071578085911303,60.511165548948306
50,55,2.149219113,2719,-109.4873,-0.19723217,1.874874376,2.9704144660000003,6.156958863,3.4144426080000003,24.76190476,11.6,0.0,0.0,0.318181818,0.0,2.1608989217588332,55.32995682914065
51,69,1.72427587,723,-123.640556,1.06884013,2.674838067,3.2657594110000003,7.1510127820000005,4.770684623999999,5.714285714,13.7,0.0,0.0,0.045454546,0.0,1.7629503258819776,64.44149111910187
52,57,1.9912260769999999,89,-124.060278,0.32570014,1.00795792,6.225943608,7.222837515,5.538121359,40.0,12.9,0.0,0.0,0.090909091,0.0,2.167749401874903,60.415280480358554
53,69,2.6117233090000003,1986,-107.27507,-0.289016295,5.669674005,4.072439727,7.781605207,6.908155198999999,23.76237624,22.9,2.14,0.0,0.9090909090000001,1.5,2.4075215218144272,54.70574963308093
54,43,2.74272513,2060,-117.02444399999999,-0.767870727,2.693274916,5.16706908,8.029314148,6.000672027999999,12.37113402,12.9,0.0,0.0,0.454545455,1.5,2.516526076908529,44.98483134631738
55,61,2.342422682,769,-119.90937,-0.763569645,4.0174635180000005,4.136765278,8.167190648,3.708682081,35.23809524,18.9,0.0,0.0,0.454545455,1.454545455,2.3140411879199143,54.067123043457826
56,63,2.23299611,925,-119.54308999999999,-0.877070019,2.289499853,3.39785848,7.649090522000001,2.90690106,71.57894737,14.6,0.0,0.0,0.0,1.454545455,2.182705491897395,54.43258339241223
57,60,2.164352856,2981,-110.4224,-0.06400533,4.177152673,2.104134154,5.113143746,3.577947893,3.80952381,13.4,0.15,0.0,0.0,1.0,2.142780158114989,54.874019602321766
58,40,2.281033366,1916,-113.40833300000001,-0.673344553,2.926917958,5.410305867999999,8.062330044,4.56017282,83.80952381,7.7,0.0,0.0,0.22727272699999998,1.4318181819999998,2.418026692657425,44.57239078261966
59,35,2.557507202,2129,-106.25444399999999,-0.48126682200000004,3.671733295,4.7335634010000005,8.096516572999999,6.129703591,40.95238095,10.2,0.0,0.0,1.0,1.5,2.4414237348268455,38.083984345471414
60,44,2.484299839,2254,-106.31277800000001,-0.7318880090000001,4.400357591000001,4.4212473480000005,8.209700134,8.114324709,48.57142857,21.6,2.42,0.0,0.818181818,0.0,2.416946928912125,41.35333848609018
61,48,2.1172712959999997,1916,-109.38333300000001,-0.216913002,4.026957544,1.871802177,6.63516238,3.258096538,11.42857143,9.0,0.0,0.04,0.0,0.0,2.0020944287986224,50.44000305359054
62,39,1.544068045,548,-121.33997,1.2406903870000001,5.300015923,3.068052935,5.54083142,4.365643155,14.28571429,8.9,0.0,0.02,0.0,0.0,1.6482725510072558,48.07328204858568
63,49,2.670245853,607,-118.77983,-0.200892942,11.64267932,7.322047976,7.545680405,7.416679095,38.095238099999996,20.4,18.12,1.85,0.22727272699999998,0.0,2.580728270633877,47.4716597338641
64,31,3.096910012,262,-97.4866,-0.770028225,7.093736797,6.325791627,8.397698592000001,8.68280932,98.09523809999999,27.4,91.63,0.33,0.590909091,0.80305,3.1209299830737596,26.362077017343754
65,16,2.491361694,1484,-110.59038999999999,-1.038458366,10.4605962,10.52048776,8.267213487000001,8.395138545,100.0,26.5,0.3,0.26,1.0,1.424245455,2.6095900111283967,20.776951230136934
66,9,3.232487866,1404,-103.804167,-0.865122445,8.596211374,4.625952725,7.286987358999999,8.398229459,42.52873563,20.9,2.82,0.23,0.9090909090000001,0.0,2.898749102256164,24.308235675508076
67,40,3.2425414289999996,375,-96.939167,-0.612489278,2.899771882,5.086978861,8.572951838,9.025250988,52.38095238,20.8,79.7,0.12,1.0,1.5,3.1024507847886102,39.30624963128892
68,30,2.298853076,1708,-108.32638899999999,-0.529329095,8.456546819,5.585374244,8.146331944,8.129793909,48.93617021,9.6,2.19,0.11,1.0,1.363636364,2.4801156172857683,31.722256928490296
